"PropertyID","LastUpdate","Title1","Init1","Name1","Title2","Init2","Name2","FlatNo","HouseName","RdNo","Rd","District","Town","County","PC","ClientID","Address2","Slot1","Slot2","Slot3","Slot4","Slot5","Slot6","Slot7","Slot8","Slot9"
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","-   ","-   "
"10","2010-02-20 00:00:00","-         ","-         ","-                                       ","-         ","-         ","-                   ","-         ","BlockNameExample","-         ","-                             ","-                             ","-                             ","-                             ","-           ","10","-","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","-   ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","-   ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","-   ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","NOUP","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","-   ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","-   ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","-   ","-   "
"10","2010-02-20 00:00:00","          ","          ","                                        ","          ","          ","                    ","          ","BlockNameExample","          ","                              ","                              ","                              ","                              ","            ","10"," ","-   ","-   ","-   ","-   ","-   ","-   ","BLK ","UP  ","-   "
